,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
0,GO_Biological_Process_2025,Intermediate Filament Organization (GO:0045109),46/72,2.3383310138524704e-20,5.396078228754997e-17,0,0,9.692807842352703,438.1368631294743,KRT82;KRT24;TCHH;KRT23;KRT20;KRT85;KRT84;KRT33B;KRT33A;KRT25;NEFL;KRT6C;KRT6B;KRT6A;KRT71;KRT4;KRT3;KRT2;KRT1;KRT35;KRT79;KRT13;KRT34;KRT7;KRT78;KRT77;KRT32;KRT5;KRT76;KRT10;KRT31;KRT75;KRT74;KRT73;KRT72;KRT9;DSPP;KRT19;KRT17;KRT38;KRT16;KRT37;KRT15;KRT36;KRT14;PKP1
1,GO_Biological_Process_2025,Epidermis Development (GO:0008544),51/86,2.5411246662373422e-20,5.396078228754997e-17,0,0,7.991747685723589,360.5804238063401,CALML5;BNC1;LAMC2;GLI1;EDA2R;GLI2;CASP14;STS;TGM5;CERS3;KRTDAP;KRT2;KRT34;KRT32;KRT5;KRT31;OVOL1;OVOL3;KRT9;EDAR;LCE2B;FLG2;S100A7;ZNF750;COL17A1;SPRR2E;SPRR2F;SPRR3;SPRR2G;HOXB13;KRT85;PTHLH;NTF4;SCEL;SPRR2B;SPRR2D;KLK14;GRHL3;KRT10;FOXN1;DSPP;KPLCE;FABP5;COL7A1;KRT15;GJB5;KRT14;MANSC4;SPRR1A;FGFR2;SPRR1B
2,GO_Biological_Process_2025,Epithelial Cell Differentiation (GO:0030855),54/132,2.3155805796551863e-12,3.278090240598525e-09,0,0,3.7909938822585496,101.56588439540064,MESP1;KRT24;KRT23;TCF21;GLI1;KRT20;GLI2;UPK1B;DMBT1;KRT25;SIX3;KDR;KRT4;KRT3;KRT35;PLAAT1;KRT34;PLAAT3;KRT32;OVOL1;KRT31;UPK3A;OVOL3;PAX2;KRT9;KRT38;KRT37;CDHR2;KRT36;ALDOC;IRF6;RHCG;PERCC1;ASCL1;KRT33B;NEUROD1;KRT33A;ERBB4;ZNF703;E2F7;TBX1;JAG1;FZD7;KRT13;KRT10;VIL1;KRT19;KRT17;KRT16;GSTA2;KRT15;GSTA1;KRT14;FGFR2
3,GO_Biological_Process_2025,Antimicrobial Humoral Response (GO:0019730),56/147,2.7393736225169187e-11,2.9085299437073383e-08,0,0,3.369361232374931,81.9452464121162,PGLYRP4;CXCL6;PGLYRP3;REG1A;CXCL1;CXCL13;HTN1;WFDC2;WFDC3;HTN3;BPIFA1;DMBT1;PRSS2;KRT6A;SPAG11B;RNASE4;H2BC11;XCL1;PRTN3;WFDC10A;ANG;WFDC10B;DEFB4A;S100A9;GAPDH;S100A7;WFDC12;CCL14;REG3A;WFDC11;CCL13;CALCA;PLA2G1B;DEFB126;CST9;NTS;KNG1;NPY;CPAMD8;RNASE7;MUC7;S100A12;IL36RN;PI3;SPRR2A;CCL17;WFDC13;CCL15;TSLP;DEFA5;AZU1;PPBP;LYZ;POMC;TF;CCL26
4,GO_Biological_Process_2025,Cilium Movement (GO:0003341),31/63,4.469732960713181e-10,3.796591176829776e-07,0,0,5.279703170494986,113.66420725031448,ODAD1;DNAH2;SPEF1;DNAH7;ODAD4;DNAH5;DNAH6;DNAAF11;DNAH9;TTC29;TEKT1;HYDIN;TEKT2;TEKT5;DNAI1;DNAI4;DNAI2;RSPH4A;DNAI3;CFAP73;DNAH10;DNAH17;SPAG6;DNAAF1;CFAP70;CFAP91;DNAAF4;NME5;CFAP100;CFAP54;CCDC40
5,GO_Biological_Process_2025,Keratinocyte Differentiation (GO:0030216),24/42,7.951654497864251e-10,5.628446108738247e-07,0,0,7.256294383473208,152.03729698403032,FLG;CERS3;SPRR2F;SPRR3;ASAH1;CSTA;SPRR2G;JAG1;WNT5A;AKR1C3;KRT10;DSPP;EREG;TGM1;SCEL;KRT16;LORICRIN;TXNIP;SPRR2B;SPRR1A;TGM3;IVL;SPRR1B;S100A7
6,GO_Biological_Process_2025,Epidermal Cell Differentiation (GO:0009913),28/56,1.9469957686606022e-09,1.181270147071654e-06,0,0,5.446024563671623,109.23079640671108,FLG;SPRR2F;SPRR3;ASAH1;CSTA;SPRR2G;GLI1;GLI2;TGM1;SCEL;SPRR2B;TGM3;CERS3;JAG1;WNT5A;AKR1C3;KRT10;OVOL1;OVOL3;EREG;DSPP;KRT16;LORICRIN;TXNIP;SPRR1A;IVL;SPRR1B;S100A7
7,GO_Biological_Process_2025,Epithelium Development (GO:0060429),54/159,7.799178171902213e-09,4.140388712008587e-06,0,0,2.81164090147141,52.491219790219574,TRIM71;IHH;KRT24;KRT23;TCF21;KRT20;MEOX1;UPK1B;DMBT1;KRT25;KDR;KRT6A;KRT4;KRT3;TNNC1;KRT35;KRT34;KRT32;KRT31;SOX10;UPK3A;PAX2;KRT9;CLDN3;KRT38;ALDH1A2;KRT37;CDHR2;KRT36;CLDN19;ALDOC;RHCG;NDRG4;KRT33B;KRT33A;PDCD10;NKX2-5;TBX1;NHERF1;WNT7B;KRT13;FOXJ1;KRT10;VIL1;KRT19;KRT17;KRT16;GSTA2;KRT15;MANSC4;GSTA1;KRT14;SNAI2;FGFR2
8,GO_Biological_Process_2025,Cell-Cell Adhesion via Plasma-Membrane Adhesion Molecules (GO:0098742),56/171,1.8114118066332673e-08,8.547851047523874e-06,0,0,2.662378399841175,47.46108609072899,PTPRT;PCDHGB4;LRRC4;CLDN2;CELSR2;CLDN1;CDH8;MYPN;ICAM1;CLDN20;MMP24;CLDN23;EMB;TGFBR2;CLDN6;CLDN11;CEACAM1;PSG5;CLDN9;CEACAM6;CLDN8;CEACAM5;CDH12;CDHR3;CLDN19;CDH13;CLDN18;DSG1;CLDN17;CDH15;CEACAM8;CLDN16;CDH17;DSCAML1;REG3A;NLGN1;NRXN1;IGSF9;SLITRK2;CDH20;CDH22;PCDHA7;LGALS7B;CADM1;CADM2;CNTN6;SELE;IGSF11;PTPRD;PCDHB6;CNTN2;FAT2;SDK2;ADGRL3;CBLN1;NECTIN1
9,GO_Biological_Process_2025,Nervous System Development (GO:0007399),121/480,2.6084299405877082e-08,1.1078001957675997e-05,0,0,1.85527665337181,32.39671524279955,CNTFR;CHRM3;SH3GL3;GDA;MSI1;FGF3;RAPGEFL1;FGF4;FGF8;DPYSL4;FGF9;DPF1;ADORA1;NRCAM;EPHB1;MNX1;PCDHAC2;MEF2C;RBFOX1;SEMA6A;RBFOX3;HPCAL4;SOX10;MYT1;POU3F2;OLFM1;NINJ2;TAGLN3;GPM6A;SHC3;DLX5;DLX6;SHOX2;MST1R;EFNA5;NEUROD1;NEUROD2;SCIN;MOBP;FGF20;NDP;NPTX1;DRD2;NDUFV2;TFAP2A;TFAP2B;JAG1;CNTN6;ZBTB16;ST8SIA2;NR2F1;PRG2;PTPRD;CYP26A1;DLG1;GJB1;PROC;GDNF;ARTN;FGF19;FGF18;PCDHB6;SERPINI1;FGF12;FGF11;SDK2;TRIM71;ACHE;MESP1;TENM1;PPP1R17;NCAN;SLC2A1;PCSK9;CXCL1;NRGN;DMBX1;ZIC2;EMX1;TRPC5;ACTL6A;PAX3;PAX6;NRG1;GFRA3;PAX2;TGFBR2;DNM3;ADGRF1;PAX7;B3GNT5;ALDH1A2;DCX;HAP1;DSCAML1;NLGN1;NRXN1;NRXN2;PTN;ASCL1;VXN;ACVR1C;GBX2;PTPRZ1;ERBB4;ADAM23;NTF3;NOTO;IGF2BP2;PCDH1;ATOH1;CABLES1;ZIC5;VAX1;FABP7;MAB21L2;MDGA1;NEUROG1;ADGRL3;CBLN1;NEUROG3
