,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
0,GO_Biological_Process_2025,Intermediate Filament Organization (GO:0045109),43/72,1.2175137299086785e-29,4.0835410501137077e-26,0,0,18.137702065302012,1207.5747728895008,KRT82;KRT24;TCHH;KRT23;KRT85;KRT84;KRT33B;KRT33A;KRT25;NEFL;KRT6C;KRT6B;KRT6A;KRT71;KRT4;KRT3;KRT2;KRT1;KRT35;KRT79;KRT13;KRT34;KRT78;KRT77;KRT32;KRT5;KRT76;KRT10;KRT31;KRT75;KRT74;KRT73;KRT72;KRT9;KRT19;KRT17;KRT38;KRT16;KRT37;KRT15;KRT36;KRT14;PKP1
1,GO_Biological_Process_2025,Epidermis Development (GO:0008544),46/86,1.0592625086779616e-28,1.7763832270529417e-25,0,0,14.08692614770459,907.4066668423563,COL17A1;SPRR2E;SPRR2F;SPRR3;SPRR2G;CALML5;BNC1;LAMC2;GLI1;HOXB13;KRT85;PTHLH;GLI2;NTF4;CASP14;TGM5;SPRR2B;SPRR2D;CERS3;KRTDAP;KRT2;KRT34;GRHL3;KRT32;KRT5;KRT10;KRT31;OVOL1;FOXN1;OVOL3;KRT9;KPLCE;EDAR;LCE2B;FLG2;FABP5;COL7A1;KRT15;GJB5;KRT14;MANSC4;SPRR1A;FGFR2;SPRR1B;S100A7;ZNF750
2,GO_Biological_Process_2025,Epithelial Cell Differentiation (GO:0030855),40/132,2.1803066687074545e-14,2.437582855614934e-11,0,0,5.28971100930648,166.39698857623176,KRT24;KRT23;GLI1;GLI2;KRT33B;KRT33A;UPK1B;ZNF703;KRT25;SIX3;E2F7;TBX1;JAG1;KRT4;KRT3;FZD7;KRT35;PLAAT1;KRT13;KRT34;KRT32;KRT10;OVOL1;KRT31;OVOL3;PAX2;KRT9;KRT19;KRT17;KRT38;KRT16;KRT37;KRT15;KRT36;GSTA1;KRT14;ALDOC;IRF6;RHCG;FGFR2
3,GO_Biological_Process_2025,Epidermal Cell Differentiation (GO:0009913),23/56,6.230205914161823e-12,5.224027659024688e-09,0,0,8.41204972397633,217.0444408453119,CERS3;FLG;SPRR2F;SPRR3;CSTA;SPRR2G;JAG1;WNT5A;AKR1C3;KRT10;GLI1;OVOL1;OVOL3;GLI2;TGM1;KRT16;LORICRIN;SPRR2B;SPRR1A;TGM3;IVL;SPRR1B;S100A7
4,GO_Biological_Process_2025,Epithelium Development (GO:0060429),40/159,1.6237216854031802e-11,1.0891925065684532e-08,0,0,4.083510143620073,101.4495629095179,NDRG4;KRT24;KRT23;MEOX1;KRT33B;KRT33A;UPK1B;PDCD10;KRT25;NKX2-5;KRT6A;TBX1;NHERF1;KRT4;KRT3;WNT7B;KRT35;KRT13;KRT34;KRT32;KRT10;KRT31;SOX10;PAX2;KRT9;KRT19;KRT17;KRT38;KRT16;KRT37;KRT15;MANSC4;KRT36;GSTA1;KRT14;CLDN19;SNAI2;ALDOC;RHCG;FGFR2
5,GO_Biological_Process_2025,Skin Development (GO:0043588),25/69,2.0515040011276782e-11,1.1467907366303722e-08,0,0,6.862547721307564,168.88635815223228,FLG;SPRR2F;SPRR3;CSTA;SPRR2G;ASCL4;ITGB4;TGM1;SPRR2B;TGM3;CERS3;JAG1;WNT5A;AKR1C3;KRT10;ASPRV1;KRT9;ACER1;KRT16;LORICRIN;ITGA6;SPRR1A;IVL;SPRR1B;S100A7
6,GO_Biological_Process_2025,Keratinocyte Differentiation (GO:0030216),19/42,5.545227685219687e-11,2.656956236603833e-08,0,0,9.94975845410628,234.96850427245695,FLG;CERS3;SPRR2F;SPRR3;CSTA;SPRR2G;JAG1;WNT5A;AKR1C3;KRT10;TGM1;KRT16;LORICRIN;SPRR2B;SPRR1A;TGM3;IVL;SPRR1B;S100A7
7,GO_Biological_Process_2025,Peptide Cross-Linking (GO:0018149),13/21,3.8779011287265096e-10,1.6258100482185892e-07,0,0,19.511637369791668,422.8280472269168,FLG;SPRR2E;CSTA;KRT2;KRT1;KRT10;TGM1;LORICRIN;PI3;SPRR1A;IVL;SPRR1B;TGM3
8,GO_Biological_Process_2025,Supramolecular Fiber Organization (GO:0097435),58/339,8.315693180640674e-09,3.0989816586520913e-06,0,0,2.515353091264074,46.79844953300098,COLGALT2;KRT24;TCHH;KRT23;STMN4;POF1B;KRT25;NEFL;KRT6C;KRT6B;KRT6A;KRT71;KRT4;KRT3;KRT2;KRT1;KRT35;KRT79;KRT34;KRT78;KRT77;KRT5;KRT32;KRT76;KRT31;KRT75;KRT74;KRT73;KRT9;KRT72;TRDN;KRT38;KRT37;KRT36;TAGLN3;DSG3;KRT82;KRT85;KRT84;KRT33B;KRT33A;SH3BP1;FSD1;SNCA;SIAH2;KRT13;TRPV3;KRT10;KRT19;DLG1;KIF18B;KRT17;KRT16;KRT15;TRPV4;KRT14;CORO6;TLL2
9,GO_Biological_Process_2025,Neuron Differentiation (GO:0030182),38/181,1.267597467609296e-08,4.251521906361578e-06,0,0,3.2197636909748093,58.54675786642725,BTG4;TENM2;WNT2B;TENM4;PCSK9;OTP;FZD10;HS6ST1;SOX21;GLI2;SOX2;WNT6;FGF8;SOX1;WNT11;SOX15;OTX2;PITX3;WNT10B;EMX1;NTRK2;WNT3A;FZD7;WNT7B;WNT5A;IRX4;EN2;EN1;PAX6;VAX1;PTPRD;ISL2;LHX3;LHX2;HAND2;LHX5;LHX8;CDK5R1
10,GO_Biological_Process_2025,Generation of Neurons (GO:0048699),39/192,2.1424954459611416e-08,6.53266338704879e-06,0,0,3.0888715751201143,54.54548582179075,BTG4;WNT2B;PCSK9;OTP;FZD10;SOX21;SOX2;WNT6;SOX1;WNT11;SOX15;SIX3;NRCAM;MARK1;WNT10B;EMX1;NTRK2;WNT3A;DCC;FZD7;WNT7B;WNT5A;IRX4;EN2;EN1;VAX1;PTPRD;CDK6;LHX3;ARTN;LHX2;MAP1B;DCX;LHX5;MDGA1;LRP12;LHX8;ADGRL3;CDK5R1
11,GO_Biological_Process_2025,Nervous System Development (GO:0007399),72/480,4.2801638883752115e-08,1.1963058068008717e-05,0,0,2.155760882552073,36.57612540852394,CNTFR;CHRM3;SH3GL3;PPP1R17;GDA;NCAN;SLC2A1;PCSK9;MSI1;CXCL1;FGF3;RAPGEFL1;FGF4;FGF8;DPYSL4;ZIC2;DPF1;NRCAM;EPHB1;EMX1;SEMA6A;RBFOX3;ACTL6A;PAX3;PAX6;NRG1;SOX10;PAX2;OLFM1;B3GNT5;DCX;HAP1;TAGLN3;NLGN1;DLX5;DLX6;NRXN1;SHOX2;NRXN2;PTN;NEUROD2;ACVR1C;GBX2;MOBP;PTPRZ1;ADAM23;NTF3;FGF20;IGF2BP2;DRD2;TFAP2A;TFAP2B;JAG1;ST8SIA2;ZIC5;VAX1;PTPRD;CYP26A1;DLG1;GDNF;ARTN;FABP7;FGF19;PCDHB6;SERPINI1;MDGA1;NEUROG1;FGF12;FGF11;SDK2;ADGRL3;NEUROG3
12,GO_Biological_Process_2025,Chemical Synaptic Transmission (GO:0007268),45/260,2.7253678267718744e-07,7.031448993071436e-05,0,0,2.5377906976744184,38.359955621933565,CHRM3;CHRNA4;NRXN1;CHRNA6;CACNA1B;HTR2C;NRXN2;LPAR3;SLC1A4;SLC1A6;SLC6A2;GRM1;NPPC;GABRR1;HTR7;NPBWR1;NPY;PENK;SLC17A7;GABRE;DRD2;NPTX2;SNCB;SLC18A3;SNCA;GABRA1;CHRNB4;HTR1E;GABRA5;GABRA4;GABRA3;HTR3C;GAD2;NSG1;SYT9;GABRG3;SYN2;GABRG2;SHISA6;SLC5A7;DLG1;SYT10;PCDHB6;HAP1;CBLN2
13,GO_Biological_Process_2025,Cochlea Morphogenesis (GO:0090103),8/13,1.1497786597153652e-06,0.00026906289802853997,0,0,19.15223880597015,261.924889918784,TBX1;MYO3A;HOXA1;NEUROG1;PAX2;TBX18;POU3F4;NECTIN1
14,GO_Biological_Process_2025,Establishment of Skin Barrier (GO:0061436),10/21,1.2033224419881035e-06,0.00026906289802853997,0,0,10.892551243428436,148.47009325458026,FLG;FLG2;KRT16;TMEM79;ALOX12;ALOX12B;CLDN1;ALOXE3;TP63;HRNR
15,GO_Biological_Process_2025,Gland Development (GO:0048732),19/75,2.9996693563976803e-06,0.0006008447926465932,0,0,4.0791900093370685,51.87509398067246,TBX1;UGT1A10;NHERF1;FOXE1;IGSF3;PCSK9;NRG1;GLI2;SOX2;WNT11;TG;HAND2;SIX3;NKX2-5;UGT1A9;UGT1A8;UGT1A7;FGFR2;EPHB3
16,GO_Biological_Process_2025,Gamma-Aminobutyric Acid Signaling Pathway (GO:0007214),10/23,3.3795083231181855e-06,0.0006008447926465932,0,0,9.215774478932374,116.09830241571072,GABRA1;GABRR1;GABRA5;GABRA4;GABRA3;GABRE;GPR156;GABRG3;GABRG2;SHISA7
17,GO_Biological_Process_2025,Skin Epidermis Development (GO:0098773),10/23,3.3795083231181855e-06,0.0006008447926465932,0,0,9.215774478932374,116.09830241571072,FLG;FLG2;KRT16;TMEM79;ALOX12;ALOX12B;CLDN1;ALOXE3;TP63;HRNR
