,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
0,GO_Biological_Process_2025,Cilium Movement (GO:0003341),30/63,3.811346733723789e-17,1.2451669779075618e-13,0,0,10.837212042655985,409.7112481369317,ODAD1;DNAH2;SPEF1;DNAH7;ODAD4;DNAH5;DNAH6;DNAAF11;DNAH9;TTC29;TEKT1;HYDIN;TEKT2;TEKT5;DNAI1;DNAI4;DNAI2;RSPH4A;DNAI3;CFAP73;DNAH10;SPAG6;DNAAF1;CFAP70;CFAP91;DNAAF4;NME5;CFAP100;CFAP54;CCDC40
1,GO_Biological_Process_2025,Axonemal Dynein Complex Assembly (GO:0070286),17/37,5.388983027056003e-10,8.802903774695981e-07,0,0,10.055237789203083,214.59379936561413,ODAD1;DNAI4;DNAI2;DNAH2;CFAP73;DNAI3;DNAH7;ODAD4;DNAH5;DNAAF1;DNAAF11;DAW1;DNAAF4;CFAP100;ZMYND10;DNAI1;CCDC40
2,GO_Biological_Process_2025,Inner Dynein Arm Assembly (GO:0036159),10/14,6.575141177649411e-09,7.160328742460208e-06,0,0,29.467370441458733,555.1643688261161,CFAP100;CFAP73;DNAH2;DNAI3;DNAH7;DNAAF1;DNAAF11;DNAAF4;ZMYND10;CCDC40
3,GO_Biological_Process_2025,Water Transport (GO:0006833),10/18,2.1424415206607198e-07,0.00017498391119996425,0,0,14.730486244401792,226.20355007780947,AQP7B;MINDY4;NHERF4;AQP6;AQP7;AQP4;AQP5;AQP2;UPK3A;CFTR
4,GO_Biological_Process_2025,Antibacterial Humoral Response (GO:0019731),17/53,3.2508455822257825e-07,0.00021241025034263265,0,0,5.581387460725507,83.38135476818333,FGB;WFDC12;FGA;WFDC11;CALCA;PLA2G1B;RNASE4;WFDC2;WFDC3;BPIFA1;TF;DMBT1;CPAMD8;ANG;WFDC10A;WFDC10B;WFDC13
5,GO_Biological_Process_2025,Cilium Movement Involved in Cell Motility (GO:0060294),10/20,7.812012987483712e-07,0.0004253641071684881,0,0,11.783109404990403,165.6991862499655,DNAH10;DNAH2;DNAI3;DNAH7;DNAH5;DNAH6;TEKT1;TEKT2;DNAH9;TEKT5
6,GO_Biological_Process_2025,Outer Dynein Arm Assembly (GO:0036158),10/21,1.3860470502774365e-06,0.0006468879590366264,0,0,10.711336008840806,144.4857974507684,ODAD1;DNAI2;ODAD4;DNAAF1;DNAH5;DAW1;DNAAF11;DNAAF4;ZMYND10;DNAI1
7,GO_Biological_Process_2025,Cilium-Dependent Cell Motility (GO:0060285),11/27,2.7507728364954805e-06,0.0010334564177654,0,0,8.10343309859155,103.75334821945,DNAH2;DNAH10;DNAI3;DNAH7;DNAH5;DNAH6;TEKT1;TEKT2;DNAH9;TEKT5;CFAP54
8,GO_Biological_Process_2025,Fluid Transport (GO:0042044),9/18,2.846987376764256e-06,0.0010334564177654,0,0,11.77621483375959,150.37342165130536,AQP7B;MINDY4;NHERF4;AQP7;CLDN18;AQP4;AQP5;AQP2;UPK3A
9,GO_Biological_Process_2025,Antimicrobial Humoral Response (GO:0019730),28/147,9.90335427420429e-06,0.0032354258413825,0,0,2.788197220635827,32.12738457666357,WFDC12;CCL14;REG3A;WFDC11;CCL13;CALCA;PLA2G1B;REG1A;KNG1;WFDC2;WFDC3;BPIFA1;DMBT1;CPAMD8;PRSS2;CCL17;WFDC13;CCL15;SPAG11B;RNASE4;AZU1;PPBP;LYZ;TF;PRTN3;WFDC10A;ANG;WFDC10B
10,GO_Biological_Process_2025,Inorganic Anion Transport (GO:0015698),14/51,2.6374053860636808e-05,0.0078330939966091,0,0,4.463360088760987,47.05778493577608,SLC34A3;CLIC5;SLC34A2;CLIC3;CLCNKA;SLC5A5;SLC5A8;SLC26A8;ENPP3;SLC26A9;CLIC2;SLC17A1;SLC26A4;SLC17A3
11,GO_Biological_Process_2025,Determination of Left/Right Symmetry (GO:0007368),14/52,3.349903349868602e-05,0.0091201118700172,0,0,4.34566692549205,44.77772579735405,CFAP52;DNAI2;LEFTY1;CITED2;ODAD4;DNAAF1;DNAH5;DNAAF11;FOXJ1;DNAAF4;DNAI1;CFAP45;CCDC40;CIROP
12,GO_Biological_Process_2025,Sodium Ion Transport (GO:0006814),20/96,4.770907566998814e-05,0.0115338992762704,0,0,3.1096011116006372,30.94174042332409,SLC34A3;SLC6A18;SLC6A14;ATP1B1;SLC5A2;SLC6A20;SLC4A4;SLC6A3;SLC5A5;SLC4A8;SLC5A8;SCNN1B;SCN7A;SCN4A;CNGA4;SCN3A;SLC17A3;SCN1A;SLC17A4;HCN1
13,GO_Biological_Process_2025,Maintenance of Gastrointestinal Epithelium (GO:0030277),8/19,4.9425953433666024e-05,0.0115338992762704,0,0,8.55811792041824,84.85403784710478,VSIG1;NR1I2;TFF3;MUC13;TFF2;TFF1;PBLD;MUC6
14,GO_Biological_Process_2025,Axoneme Assembly (GO:0035082),12/42,6.414578627493381e-05,0.0139709522506805,0,0,4.714157591287636,45.51213749840097,DNAI4;RSPH4A;RSPH1;SPEF1;DNAAF1;CFAP91;DNAAF11;HYDIN;CFAP46;DNAJB13;FOXJ1;CCDC40
15,GO_Biological_Process_2025,Adenylate Cyclase-Modulating G Protein-Coupled Receptor Signaling Pathway (GO:0007188),32/202,0.0001105497620348604,0.0221742471703916,0,0,2.230117952437302,20.316474463168632,PTGFR;CALCA;VIPR2;SFTPA2;PTGER2;CACNA1D;HTR4;ADRA1B;RXFP2;AKAP12;GNA14;MC2R;CALCR;UCN3;ADGRE5;CPAMD8;FFAR4;PCDHA4;OR5AN1;GABBR2;LHCGR;GPR12;HTR1F;GLP2R;SCTR;NPY1R;ADRA2A;ADGRD1;MTNR1A;ADGRF1;ADGRF5;RAMP1
16,GO_Biological_Process_2025,Epithelial Cilium Movement Involved in Extracellular Fluid Movement (GO:0003351),8/21,0.0001153848184562773,0.0221742471703916,0,0,7.240697960186778,65.65313001405681,ODAD4;SPAG6;DNAAF1;DNAAF11;NEK10;AQP4;DNAAF4;CCDC40
17,GO_Biological_Process_2025,Motile Cilium Assembly (GO:0044458),7/17,0.0001764946475343306,0.032033778527481,0,0,8.232375478927203,71.14600007435075,CFAP221;MCIDAS;DNAAF1;DNAAF11;ZMYND10;SPATA6;CCDC40
18,GO_Biological_Process_2025,Positive Regulation of Secretion by Cell (GO:1903532),16/75,0.00019831442767530763,0.0340996439586963,0,0,3.199198806918999,27.27527096126868,FGB;UNC13B;ACHE;MYOM1;CADPS2;FGA;PLA2G1B;KCNB1;FGG;RAB27A;BMP6;BAIAP3;TTR;PLA2G10;ANG;CFTR
19,GO_Biological_Process_2025,Cell-Cell Adhesion via Plasma-Membrane Adhesion Molecules (GO:0098742),27/171,0.00038707036833402733,0.0630300018701977,0,0,2.217375485122898,17.421706431967575,REG3A;PCDHGB4;CLDN2;MYPN;ICAM1;MMP24;CDH20;CLDN23;EMB;PCDHA7;CADM1;CADM2;CNTN6;TGFBR2;CLDN6;CEACAM1;PSG5;CLDN9;CEACAM6;CEACAM5;CDHR3;CLDN18;CDH15;CEACAM8;CDH17;DSCAML1;CBLN1
20,GO_Biological_Process_2025,Calcium-Ion Regulated Exocytosis (GO:0017156),6/14,0.00040515152717298823,0.0630300018701977,0,0,8.815730695596681,68.86187127988678,RIMS1;SCIN;CLTRN;SYT12;NLRP5;SYT7
21,GO_Biological_Process_2025,Negative Regulation of Blood Coagulation (GO:0030195),9/31,0.00046229860886170095,0.0675093944419619,0,0,4.814142059986049,36.96923888817486,FGB;FGA;CPB2;PROC;APOH;FGG;TFPI;KLKB1;KNG1
22,GO_Biological_Process_2025,Myofibril Assembly (GO:0030239),12/51,0.000475272749361838,0.0675093944419619,0,0,3.624501059478638,27.7333109929641,MYOM1;CSRP3;TTR;ADPRHL1;MYBPH;CAPN3;PGM5;MYOZ1;LMOD3;MYLK3;MYPN;KLHL41
23,GO_Biological_Process_2025,Multicellular Organismal-Level Water Homeostasis (GO:0050891),7/20,0.0005702142607278878,0.0758754207125497,0,0,6.3315649867374,47.29361435908361,BPIFA1;MINDY4;SCNN1B;CYP4A11;AQP4;AQP2;CFTR
24,GO_Biological_Process_2025,Chloride Transport (GO:0006821),17/90,0.0005806199932089815,0.0758754207125497,0,0,2.74692749234074,20.46849416992655,CLIC5;GABRB2;GABRB1;CLIC3;SLC1A1;CLCNKA;ANO5;SLC1A7;GABRR3;SLC4A8;SLC5A8;GLRA3;SLC26A8;SLC26A9;CLIC2;SLC26A4;CFTR
