,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
0,KEGG_2021_Human,Neuroactive ligand-receptor interaction,111/341,3.5014285044851074e-15,1.0854428363903833e-12,0,0,2.668372489278443,88.81839364639887,CHRM3;PRSS1;NPFFR1;VIPR2;HTR4;RXFP2;CYSLTR1;HTR7;ADORA1;PRSS2;GHSR;CHRNB4;LHCGR;NPY1R;GABRG3;GABRG2;MTNR1A;AGTR1;AGTR2;PTGFR;CALCA;CHRNA4;CHRNA7;CHRNA6;CHRNA9;LPAR3;GPR83;NTS;KNG1;MCHR2;C3;C5;MC2R;CALCR;HRH3;NPBWR1;PENK;TAC4;CGA;HCRT;DRD2;GRIA4;HTR1E;HTR1F;GH2;PYY;GNRH2;RLN3;GABRB2;GABRB1;HTR2B;HTR2C;ADM;ADRA1D;OXT;TRH;ADRA1B;GRM1;LTB4R;GABRR3;MC4R;GHR;GABRR1;UCN3;UCN2;PRLHR;INSL5;AVPR1B;EDN3;GPR35;GLP2R;PTH2R;SSTR1;F2;SSTR2;ADRA2B;ADRA2A;SSTR4;GIP;CCKBR;CRH;OPRD1;PTGER2;P2RY6;GLRA3;NPW;P2RY4;NPY;P2RY1;KISS1R;PRLH;GABRE;GPR156;S1PR5;GABRQ;GABBR2;GABRA1;SLURP2;GABRA5;GABRA4;GCGR;GABRA3;SCTR;GPR50;AGT;SLURP1;GRIN1;POMC;SST;GHRH;F2RL2
1,KEGG_2021_Human,Staphylococcus aureus infection,39/95,2.2294064358126624e-09,3.4555799755096266e-07,0,0,3.799974514619341,75.7013080371191,CFI;KRT24;KRT23;KRT20;ICAM1;C2;C4B;C3;KRT33B;C4A;KRT33A;C5;HLA-DMA;KRT25;HLA-DPA1;MBL2;HLA-DRB5;FGG;DEFA5;KRT35;KRT13;KRT34;KRT32;KRT10;KRT31;KRT9;KRT19;KRT18;KRT17;KRT38;KRT16;KRT37;KRT15;KRT36;KRT14;DSG1;DEFB4A;CFB;HLA-DQB1
2,KEGG_2021_Human,Maturity onset diabetes of the young,17/26,1.4048106924917634e-08,1.451637715574822e-06,0,0,10.262050456253355,185.54585806060777,ONECUT1;HNF4G;PDX1;HNF1B;PAX6;BHLHA15;HNF1A;MAFA;GCK;NEUROD1;RFX6;HNF4A;NKX6-1;MNX1;FOXA3;FOXA2;NEUROG3
3,KEGG_2021_Human,Bile secretion,36/90,2.0670832622235733e-08,1.601989528223269e-06,0,0,3.63447828904731,64.31042939652234,UGT1A10;ABCB4;SLC22A1;SLC2A1;AQP4;ADCY2;ADCY8;SLC4A4;SLC4A5;AQP1;UGT1A4;UGT2A1;UGT1A9;UGT1A8;UGT1A7;SULT2A1;ABCC3;ABCG8;ABCG5;UGT2B11;UGT1A1;SLC10A2;UGT2B15;NR1H4;SCTR;UGT2B17;ATP1B3;ATP1B1;BAAT;SLC51B;NR0B2;SLC9A3;SLCO1A2;UGT2B4;SLC22A7;CFTR
4,KEGG_2021_Human,Complement and coagulation cascades,33/85,1.835688422631495e-07,1.1381268220315268e-05,0,0,3.4567945812685212,53.61722101689536,CPB2;SERPINA1;CFI;C4BPA;C4BPB;C8B;TFPI;C8A;KNG1;C2;C4B;C3;C4A;THBD;C5;C6;C9;CD55;MBL2;FGB;FGA;SERPINB2;SERPIND1;FGG;F11;F2;F5;F7;PROC;CFHR4;KLKB1;CFB;F2RL2
5,KEGG_2021_Human,Metabolism of xenobiotics by cytochrome P450,30/76,4.289874361646274e-07,2.2164350868505748e-05,0,0,3.5502559199055064,52.05327788320551,UGT1A10;ADH1B;ADH7;ADH4;ALDH3B2;HPGDS;AKR7A3;ALDH3B1;UGT1A4;UGT2A1;UGT1A9;UGT1A8;UGT1A7;SULT2A1;GSTM4;GSTM3;GSTM2;UGT2B11;GSTM1;UGT1A1;UGT2B15;UGT2B17;AKR7L;ALDH3A1;GSTA5;CYP2S1;GSTA2;GSTA1;UGT2B4;GSTM5
6,KEGG_2021_Human,Nicotine addiction,19/40,2.107404557638909e-06,9.332791612400884e-05,0,0,4.915105197734911,64.24068757353287,GABRQ;GABRB2;GABRA1;GABRB1;CHRNA4;GABRA5;CHRNA7;GABRA4;CHRNA6;GABRA3;CACNA1B;GABRG3;GABRG2;GRIN1;GABRR3;GABRR1;SLC17A7;GABRE;GRIA4
7,KEGG_2021_Human,Ascorbate and aldarate metabolism,15/30,1.1438557670530266e-05,0.0004432441097330478,0,0,5.4274219504345025,61.75603278113822,UGT1A10;KL;MIOX;UGT2B11;UGT1A1;UGT2B15;UGT2B17;ALDH2;RGN;UGT1A4;UGT2B4;UGT2A1;UGT1A9;UGT1A8;UGT1A7
8,KEGG_2021_Human,Retinol metabolism,25/68,1.681417762845185e-05,0.0005791550072022304,0,0,3.1604102995396897,34.74330100337918,UGT1A10;ADH1B;HSD17B6;ADH7;SDR16C5;ADH4;RDH12;RDH16;AOX1;UGT1A4;UGT2A1;BCO1;UGT1A9;UGT1A8;UGT1A7;CYP3A7-CYP3A51P;UGT2B11;UGT1A1;UGT2B15;UGT2B17;CYP26A1;CYP2W1;ALDH1A2;CYP2S1;UGT2B4
9,KEGG_2021_Human,Taste transduction,29/86,2.51213325971937e-05,0.000773496805841776,0,0,2.7669100005104905,29.306538441316675,KCNK5;CHRM3;PDE1C;TAS2R46;ADCY8;GRM1;CALHM1;P2RY4;GNAT3;P2RY1;TAS1R2;TAS1R1;TAS2R3;SCN3A;TAS2R4;TAS2R50;GABBR2;GABRA1;TAS2R30;HTR1E;GABRA5;HTR1F;GABRA4;GABRA3;HTR3C;TAS2R13;HTR3A;HTR3B;SCNN1B
