,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
0,KEGG_2021_Human,Complement and coagulation cascades,27/85,1.5326226687876029e-10,4.4752581928598004e-08,0,0,5.531103626711871,124.99669457898791,CPB2;SERPINA1;CFI;C4BPA;C4BPB;C8B;TFPI;C8A;KNG1;C2;C4B;C3;C4A;C5;C6;CD55;FGB;FGA;SERPIND1;FGG;F11;F2;F5;F7;PROC;KLKB1;CFB
1,KEGG_2021_Human,Neuroactive ligand-receptor interaction,61/341,1.0413672006069343e-09,1.5203961128861244e-07,0,0,2.614717970521542,54.07950939568335,GABRB2;PRSS1;GABRB1;NPFFR1;VIPR2;HTR2B;OXT;HTR4;ADRA1B;RXFP2;GABRR3;CYSLTR1;UCN3;ADORA1;PRLHR;PRSS2;INSL5;LHCGR;AVPR1B;GPR35;GLP2R;NPY1R;SSTR1;F2;ADRA2A;GIP;MTNR1A;AGTR1;CRH;AGTR2;OPRD1;PTGFR;CALCA;PTGER2;CHRNA9;KNG1;C3;C5;MC2R;P2RY6;GLRA3;CALCR;NPW;HRH3;P2RY4;KISS1R;TAC4;PRLH;CGA;HCRT;GRIA4;GABBR2;HTR1F;SCTR;AGT;GRIN1;GH2;PYY;SST;GNRH2;RLN3
2,KEGG_2021_Human,Maturity onset diabetes of the young,12/26,1.8314443036913065e-07,1.782605788926205e-05,0,0,10.110551844056008,156.84489731915426,NEUROD1;RFX6;HNF4A;ONECUT1;HNF4G;PDX1;HNF1B;BHLHA15;HNF1A;MNX1;FOXA3;FOXA2
3,KEGG_2021_Human,Bile secretion,17/90,0.0005806199932089815,0.0381649883454858,0,0,2.74692749234074,20.46849416992655,ABCC3;UGT2B11;ABCB4;SLC10A2;UGT2B15;NR1H4;SCTR;AQP4;ATP1B1;BAAT;SLC51B;SLC4A4;NR0B2;SLC4A5;AQP1;UGT2B4;CFTR
4,KEGG_2021_Human,Hematopoietic cell lineage,18/99,0.0006535100744090044,0.0381649883454858,0,0,2.621793497677742,19.22601182759147,GYPA;HLA-DRB5;CSF2;CSF3R;ITGA1;CD1E;CD1C;CD1B;CSF2RA;CD1A;EPOR;GP9;HLA-DMA;THPO;ANPEP;CD55;HLA-DPA1;HLA-DQB1
5,KEGG_2021_Human,Taste transduction,16/86,0.0009873555723784067,0.0480513045224157,0,0,2.6948527387833745,18.64967536481163,KCNK5;TAS2R50;GABBR2;TAS2R30;PDE1C;HTR1F;TAS2R13;TAS2R46;HTR3A;HTR3B;P2RY4;SCNN1B;TAS1R1;TAS2R3;SCN3A;TAS2R4
6,KEGG_2021_Human,Protein digestion and absorption,17/103,0.0027100176802619,0.113046451805213,0,0,2.330042745262151,13.772416938370336,KCNK5;PRSS1;CPB2;COL25A1;KCNJ13;SLC1A1;COL11A2;SLC3A1;ATP1B1;DPP4;MEP1A;SLC7A9;COL4A4;KCNQ1;COL4A3;KCNN4;PRSS2
7,KEGG_2021_Human,cAMP signaling pathway,29/216,0.0032466767863443,0.1185037027015692,0,0,1.8320356875675377,10.497790440323527,VIPR2;NPR1;HHIP;PTGER2;CACNA1D;OXT;HTR4;MC2R;HCAR1;CREB3L3;CREB3L1;ADORA1;CNGA3;CNGA4;CGA;GRIA4;GABBR2;LHCGR;HTR1F;PDE4D;PDE4C;NPY1R;SSTR1;ATP1B1;GRIN1;GIP;SST;PPP1R1B;CFTR
8,KEGG_2021_Human,Histidine metabolism,6/22,0.0058317066810838,0.1892064834307204,0,0,4.405950861518826,22.66617443646835,AOC1;HAL;ALDH2;ALDH3B1;CARNS1;HNMT
9,KEGG_2021_Human,Staphylococcus aureus infection,15/95,0.0071150226497729,0.1986317039281591,0,0,2.2079990372272142,10.919762714410933,HLA-DRB5;FGG;CFI;KRT20;ICAM1;C2;C4B;C3;C4A;C5;HLA-DMA;KRT18;CFB;HLA-DPA1;HLA-DQB1
