,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
0,GO_Molecular_Function_2025,Receptor Ligand Activity (GO:0048018),116/380,1.3228380259473781e-13,1.1760030050672188e-10,0,0,2.4285066231174017,72.01451468901925,CSF2;REG1A;CXCL13;FGF3;FGF4;ENDOU;NPPC;IL36A;FGF8;IL36B;FGF9;CHGB;EPHA7;SEMA6A;SEMA6D;WNT5A;PGF;EREG;S100A4;S100A9;FBN2;REG3A;CALCA;NTS;KNG1;C3;GPR15LG;DPP4;WNT6;THPO;PENK;CPAMD8;FGF20;TAC4;NDP;APOB;JAG2;WNT10B;JAG1;TSLP;TNFSF15;WNT3A;AMBN;TNFSF13;OSGIN1;IL36G;GDF5;BMP7;BMP6;IL2;IL1F10;BMP5;GH2;PYY;GDNF;ARTN;FGF19;FGF18;GNRH2;SCGB3A1;ULBP2;ULBP1;IL20;WNT2B;IL24;ADM;CXCL1;CGB2;INSL6;GAST;IL11;LEFTY1;EDN3;APOA2;IL19;APOA1;NRG1;IL1A;GREM2;VGF;NRG4;C1QTNF12;CRH;IFNK;ANG;DEFB4A;SEMA3D;SEMA3B;SEMA3E;PTN;SEMA3F;PTHLH;NTF4;WNT11;GPNMB;NTF3;ALKAL1;PRLH;LEFTY2;CCL15;GDF10;IL31;CD70;GDF15;IL37;WNT7B;VEGFD;GUCA2A;SLURP1;POMC;EPGN;CD40LG;SST;INHA;CRLF1;CCL26
1,GO_Molecular_Function_2025,Endopeptidase Inhibitor Activity (GO:0004866),47/119,2.5257607159070315e-10,1.1227006382206757e-07,0,0,3.567669376693767,78.84302667732292,WFDC12;SERPINB10;WFDC11;SERPINA12;SERPINB11;CSTA;SERPINB12;SERPINA1;ITIH2;SERPINB13;SERPINE2;PZP;SERPINA9;TFPI;SERPINA7;KNG1;SERPINA4;WFDC2;CST5;WFDC3;PCSK1N;NLRP7;SPOCK3;PI3;ERC2;WFDC13;SNCA;SERPINB3;SERPINB4;SPINK1;SERPINB2;AMBP;SERPIND1;AHSG;TFPI2;SERPINB7;SERPINB5;COL4A3;MANSC4;FETUB;WFDC10A;SPINK9;WFDC10B;SERPINI1;BIRC7;LPA;GAPDH
2,GO_Molecular_Function_2025,Serine-Type Endopeptidase Inhibitor Activity (GO:0004867),30/60,5.173891313436967e-10,1.5331964592151542e-07,0,0,5.448900388098318,116.50961874713305,SERPINB10;WFDC12;SERPINA12;SERPINB11;WFDC11;SERPINB12;SERPINA1;SERPINB13;SERPINE2;SERPINA9;TFPI;SERPINA7;SERPINA4;WFDC2;WFDC3;PI3;WFDC13;SERPINB3;SERPINB4;SERPINB2;AMBP;SERPIND1;TFPI2;SERPINB7;SERPINB5;MANSC4;WFDC10A;SPINK9;WFDC10B;SERPINI1
3,GO_Molecular_Function_2025,Chloride Channel Activity (GO:0005254),33/76,7.015469560930994e-09,1.5591881099169136e-06,0,0,4.182545717361681,78.52791565046071,CLIC6;GABRB2;OCA2;GABRB1;CLIC3;AQP6;CLCNKA;SLC1A4;BEST2;BEST3;CLCN2;SLC1A7;GABRR3;GABRR1;GLRA3;CLCA2;CLCA1;SLC17A7;CLIC2;GABRE;CLCA4;GABRQ;GABRA1;GABRA5;GABRA4;GABRA3;ANO5;GABRG3;GABRG2;FXYD3;SLC26A8;SLC26A9;CFTR
4,GO_Molecular_Function_2025,Sequence-Specific Double-Stranded DNA Binding (GO:1990837),163/706,7.714215406513746e-08,1.371587499278144e-05,0,0,1.6571504857359978,27.140174244066255,RORC;FOXI1;HOXA13;HOXA11;NR3C2;SPIB;SOX2;HOXA10;CREB3L3;CREB3L1;DPF1;HOXA1;GSC2;DUXA;PITX1;SOX7;MNX1;PITX3;MEF2C;NKX6-3;ESX1;BHLHA15;HNF1A;OVOL1;POU3F1;SOX10;MYT1;POU3F2;FOXP1;POU3F4;ISL2;RFX6;DLX1;GCM1;DLX2;RNASEH2A;HOXD1;DLX5;DLX6;SHOX2;ARX;GATA4;MACROH2A2;HOXB13;GLIS1;NEUROD1;NEUROD2;SOHLH1;PRDM16;NKX2-1;ALX4;ALX1;OTX2;OTX1;NKX2-5;HOXC8;TFAP2A;NFE2;TFAP2B;BCL11B;ESRRB;NR2F1;MAFA;FOXN1;ESR1;ISX;NR4A2;GDNF;TLX3;TLX2;DMRTC2;MYF6;ZSCAN4;SNAI2;LHX5;HOXD9;SP9;HOXD8;LHX9;VSX1;LHX8;TP73;VSX2;MESP1;RARG;FOXE1;BNC1;ONECUT1;TCF21;HOXC13;GLI1;MEOX1;GLI2;DMBX1;HEY1;SIX2;SIX3;NKX3-2;MYOG;EMX1;FOXD3;MSGN1;EN2;EN1;PAX3;PAX6;FOXL2;KLF14;KLF15;PAX2;PAX1;NR5A1;DMRTA2;PAX7;ZNF639;TGIF2LX;HAND2;MYOD1;TGIF2LY;IRF6;HMX1;NR1I2;LEF1;HOXD13;HOXD12;ASCL1;HOXD11;HOXD10;TBXT;CDC45;GBX2;ERBB4;TBX20;SHOX;NOTO;HES2;E2F7;ATOH1;SPDEF;DRGX;SNCA;TBX1;FOXB1;DMRT1;CDX1;NR1H4;FOXJ1;DMRT3;ZIC5;KLF4;VAX1;KLF2;TBX18;POU4F3;CTCFL;TBX15;GFI1B;KLF5;NEUROG1;FOXA3;NEUROG2;SMIM44;FOXA2
5,GO_Molecular_Function_2025,Calcium Ion Binding (GO:0005509),87/324,1.2597034226991102e-07,1.8664605712991818e-05,0,0,2.0127583258607387,31.977132994338444,RET;ANXA8L1;CALML5;CIB4;IHH;TCHH;CALML3;COMP;CALB2;S100A7A;HPGDS;CALB1;NCS1;CHP2;CAPN3;ENPP3;PRSS2;TGM3;CASR;S100A2;AMY1A;MMP1;TESC;AMY1B;PLA2G4B;PLA2G4A;CABS1;HPCAL4;MMP12;PCP4;MYL7;SNTN;MMP13;VSNL1;PLA2G10;RGN;DSG1;S100A4;CDHR5;S100A3;DSG3;DSG4;S100A9;S100A8;DSC3;S100A7;PLA2G1B;CABP4;NRXN1;PON1;ITLN1;LPL;LRP2;THBS4;BCL2L10;CLEC3B;SCIN;TTR;SPOCK3;OTOF;PCDHA4;S100A12;SNCB;PCDHA7;SNCA;PLA2G2F;S100G;AOC1;PLA2G2C;REG4;ALOX15B;CABCOCO1;HRNR;DSPP;BAIAP3;CRNN;VIL1;NELL2;GJB2;SYT12;RCAN2;SYT10;PCDHB6;ESYT3;S100P;ADGRL3;CDK5R1
6,GO_Molecular_Function_2025,Monoatomic Anion Channel Activity (GO:0005253),33/86,2.534979696089658e-07,3.2194242140338654e-05,0,0,3.391370474660542,51.507829625089585,CLIC6;GABRB2;OCA2;GABRB1;CLIC3;AQP6;CLCNKA;SLC1A4;BEST2;BEST3;GABRR3;GABRR1;GLRA3;CLCA2;CLCA1;SLC17A7;CLIC2;GABRE;CLCA4;SLC17A3;GABRQ;GABRA1;GABRA5;GABRA4;GABRA3;ANO5;GABRG3;GABRG2;SLC5A8;FXYD3;SLC26A8;SLC26A9;CFTR
7,GO_Molecular_Function_2025,Sequence-Specific DNA Binding (GO:0043565),162/718,3.995744512738343e-07,3.581430820781573e-05,0,0,1.606652245770951,23.670591808480307,RORC;FOXI1;SCX;MYRFL;HOXA13;HOXA11;NR3C2;SPIB;SOX2;HOXA10;CREB3L1;DPF1;HOXA1;GSC2;DUXA;PITX1;SOX7;MNX1;PITX3;RAG1;MEF2C;NKX6-3;ESX1;BHLHA15;HNF1A;OVOL1;POU3F1;SOX10;MYT1;POU3F2;FOXP1;POU3F4;ISL2;NOBOX;DPEP3;PIF1;DLX1;GCM1;DLX2;RNASEH2A;HOXD1;DLX5;DLX6;SHOX2;ARX;GATA4;HOXB13;GLIS1;NEUROD1;NEUROD2;PRDM16;ALX4;ALX1;OTX2;OTX1;NKX2-5;HOXC8;PPARGC1A;TFAP2A;NFE2;TFAP2B;BCL11B;ESRRB;NR2F1;MAFA;ESR1;ISX;NR4A2;LHX3;GDNF;TLX3;TLX2;DMRTC2;MYF6;ZSCAN4;SNAI2;LHX5;HOXD9;SP9;HOXD8;LHX9;VSX1;LHX8;VSX2;RARG;FOXE1;ONECUT1;TCF21;HOXC13;GLI1;MEOX1;GLI2;DMBX1;HEY1;SIX2;SIX3;NKX3-2;MYOG;EMX1;FOXD3;FOXD1;MSGN1;EN2;EN1;PAX3;PAX6;FOXL2;KLF14;KLF15;PAX2;PAX1;MMP12;NR5A1;DMRTA2;PAX7;TGIF2LX;HAND2;MYOD1;TGIF2LY;IRF6;HMX1;MYRF;NR1I2;LEF1;HOXD13;HOXD12;ASCL1;HOXD11;HOXD10;CXXC4;TBXT;GBX2;TBX20;SHOX;NOTO;HES2;E2F7;ATOH1;SPDEF;DRGX;TBX1;FOXB1;DMRT1;CDX1;NR1H4;DMRT3;GRHL3;ZIC5;KLF4;VAX1;KLF2;TBX18;POU4F3;CTCFL;TBX15;GFI1B;KLF5;NEUROG1;FOXA3;NEUROG2;SMIM44;FOXA2
8,GO_Molecular_Function_2025,GABA Receptor Activity (GO:0016917),14/22,4.554214057035294e-07,3.581430820781573e-05,0,0,9.498873873873874,138.7029617205375,GABRQ;GABBR2;GABRA1;GABRB2;GABRB1;GABRA5;GABRA4;GABRA3;GABRG3;GABRG2;GABRR3;GABRR1;GABRE;GPR156
9,GO_Molecular_Function_2025,Ligand-Gated Monoatomic Anion Channel Activity (GO:0099095),22/47,4.589190129895642e-07,3.581430820781573e-05,0,0,4.784077419354839,69.820701621826,GABRQ;GABRB2;GABRA1;GABRB1;GABRA5;GABRA4;GABRA3;AQP6;BEST2;BEST3;SLC1A7;ANO5;GABRG3;GABRG2;GABRR3;GABRR1;GLRA3;CLCA2;CLCA1;GABRE;CLCA4;CFTR
