,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
0,GO_Molecular_Function_2025,Sequence-Specific Double-Stranded DNA Binding (GO:1990837),112/706,1.699969908156368e-13,1.1338799287402973e-10,0,0,2.3430594509230556,68.89296686450753,FOXI1;HOXA13;HOXA11;SPIB;SOX2;HOXA10;DPF1;HOXA1;GSC2;DUXA;PITX1;SOX7;PITX3;NKX6-3;ESX1;OVOL1;POU3F1;SOX10;POU3F4;ISL2;DLX1;DLX2;RNASEH2A;DLX5;DLX6;SHOX2;GATA4;MACROH2A2;HOXB13;GLIS1;NEUROD2;SOHLH1;ALX4;ALX1;OTX2;OTX1;NKX2-5;HOXC8;TFAP2A;TFAP2B;BCL11B;ESRRB;MAFA;FOXN1;GDNF;TLX3;TLX2;MYF6;SNAI2;LHX5;HOXD9;SP9;HOXD8;LHX8;TP73;RARG;FOXE1;BNC1;HOXC13;GLI1;MEOX1;GLI2;HEY1;SIX2;SIX3;NKX3-2;MYOG;EMX1;FOXD3;MSGN1;EN2;EN1;PAX3;PAX6;FOXL2;KLF14;PAX2;PAX1;NR5A1;DMRTA2;ZNF639;TGIF2LX;HAND2;MYOD1;TGIF2LY;IRF6;HMX1;LEF1;HOXD13;HOXD12;HOXD11;HOXD10;CDC45;GBX2;TBX20;SHOX;HES2;E2F7;SNCA;TBX1;DMRT1;CDX1;DMRT3;ZIC5;KLF4;VAX1;TBX18;CTCFL;GFI1B;KLF5;NEUROG1;NEUROG2
1,GO_Molecular_Function_2025,Sequence-Specific DNA Binding (GO:0043565),112/718,5.30621127320939e-13,1.7696214596153314e-10,0,0,2.295118864704842,64.87091075116196,FOXI1;HOXA13;HOXA11;SPIB;SOX2;HOXA10;DPF1;HOXA1;GSC2;DUXA;PITX1;SOX7;PITX3;RAG1;NKX6-3;ESX1;OVOL1;POU3F1;SOX10;POU3F4;ISL2;NOBOX;DPEP3;PIF1;DLX1;DLX2;RNASEH2A;DLX5;DLX6;SHOX2;GATA4;HOXB13;GLIS1;NEUROD2;ALX4;ALX1;OTX2;OTX1;NKX2-5;HOXC8;TFAP2A;TFAP2B;BCL11B;ESRRB;MAFA;LHX3;GDNF;TLX3;TLX2;MYF6;SNAI2;LHX5;HOXD9;SP9;HOXD8;LHX8;RARG;FOXE1;HOXC13;GLI1;MEOX1;GLI2;HEY1;SIX2;SIX3;NKX3-2;MYOG;EMX1;FOXD3;FOXD1;MSGN1;EN2;EN1;PAX3;PAX6;FOXL2;KLF14;PAX2;PAX1;MMP12;NR5A1;DMRTA2;TGIF2LX;HAND2;MYOD1;TGIF2LY;IRF6;HMX1;LEF1;HOXD13;HOXD12;HOXD11;HOXD10;GBX2;TBX20;SHOX;HES2;E2F7;TBX1;DMRT1;CDX1;DMRT3;GRHL3;ZIC5;KLF4;VAX1;TBX18;CTCFL;GFI1B;KLF5;NEUROG1;NEUROG2
2,GO_Molecular_Function_2025,Double-Stranded DNA Binding (GO:0003690),104/651,8.333812352385374e-13,1.8528842796803483e-10,0,0,2.355744766989493,65.52100104404836,FOXI1;HOXA13;HOXA11;SPIB;HOXA10;DPF1;HOXA1;GSC2;DUXA;PITX1;SOX7;PITX3;NKX6-3;ESX1;OVOL1;POU3F1;SOX10;POU3F4;ISL2;DLX1;DLX2;RNASEH2A;DLX5;DLX6;SHOX2;GATA4;HOXB13;GLIS1;RAD51AP1;NEUROD2;ALX4;ALX1;OTX2;OTX1;NKX2-5;HOXC8;TFAP2A;TFAP2B;BCL11B;ESRRB;MAFA;GDNF;TLX3;TLX2;MYF6;SNAI2;LHX5;HOXD9;SP9;HOXD8;LHX8;RARG;FOXE1;SYCP1;HOXC13;MEOX1;GLI2;HEY1;SIX2;SIX3;NKX3-2;MYOG;EMX1;FOXD3;MSGN1;EN2;EN1;PAX3;PAX6;FOXL2;KLF14;PAX2;PAX1;NR5A1;DMRTA2;TGIF2LX;HAND2;MYOD1;TGIF2LY;IRF6;HMX1;LEF1;HOXD13;HOXD12;HOXD11;HOXD10;GBX2;TBX20;SHOX;HES2;E2F7;TBX1;DMRT1;CDX1;DMRT3;ZIC5;KLF4;VAX1;TBX18;GFI1B;KLF5;RAD51;NEUROG1;NEUROG2
3,GO_Molecular_Function_2025,Receptor Ligand Activity (GO:0048018),67/380,1.5557484178827002e-10,2.5942104868194026e-08,0,0,2.61982124147922,59.16576574682475,IL20;WNT2B;IL24;ADM;CXCL1;CGB2;CXCL13;FGF3;FGF4;ENDOU;NPPC;IL36A;FGF8;IL36B;GAST;IL11;EPHA7;SEMA6A;EDN3;SEMA6D;WNT5A;APOA2;IL19;APOA1;NRG1;PGF;IL1A;NRG4;C1QTNF12;DEFB4A;S100A9;FBN2;SEMA3D;PTN;SEMA3F;NTS;PTHLH;GPR15LG;NTF4;WNT6;WNT11;GPNMB;PENK;NTF3;FGF20;JAG2;WNT10B;JAG1;IL31;TSLP;CD70;WNT3A;WNT7B;AMBN;OSGIN1;IL36G;BMP7;SLURP1;IL1F10;POMC;EPGN;GDNF;ARTN;FGF19;ULBP2;ULBP1;CCL26
4,GO_Molecular_Function_2025,GABA Receptor Activity (GO:0016917),10/22,2.0527479309123873e-06,0.00027383657398371246,0,0,9.984297162659736,130.7576625244507,GABRQ;GABRA1;GABRR1;GABRA5;GABRA4;GABRA3;GABRE;GPR156;GABRG3;GABRG2
5,GO_Molecular_Function_2025,Growth Factor Activity (GO:0008083),21/92,5.576272271046537e-06,0.0005984875732919385,0,0,3.5578128456603495,43.03882661720004,JAG2;IL11;JAG1;AMBN;OSGIN1;CXCL1;NRG1;PTN;BMP7;FGF3;PGF;FGF4;NTF4;ENDOU;EPGN;FGF8;GDNF;ARTN;FGF19;NTF3;FGF20
6,GO_Molecular_Function_2025,"DNA-binding Transcription Activator Activity, RNA Polymerase II-specific (GO:0001228)",48/318,6.280979030050329e-06,0.0005984875732919385,0,0,2.15334961877267,25.792788772616223,DLX5;LEF1;FOXI1;GATA4;HOXD13;GLI1;SOX21;GLIS1;SOX2;SPIB;HOXA10;SOX1;SOX15;MYB;SIX3;SHOX;ALX4;HOXA1;OTX2;OTX1;SRY;NKX2-5;SOX7;MYOG;TFAP2A;TFAP2B;NKX6-3;CDX1;ESRRB;IRX4;PAX6;GRHL3;PEDS1;KLF4;SOX10;CTCFL;GFI1B;KLF5;GDNF;LHX3;TLX2;ZNF639;HAND2;MYOD1;HOXD8;TP73;NEUROG3;ZNF750
7,GO_Molecular_Function_2025,Endopeptidase Inhibitor Activity (GO:0004866),24/119,1.2029134388642494e-05,0.0009103999514689316,0,0,3.040855910267472,34.44736001898441,SERPINB3;SERPINB10;SERPINA12;SERPINB4;SERPINB11;CSTA;SERPINB12;SERPINB2;SERPINB13;SERPINE2;AHSG;SERPINA9;SERPINB7;SERPINB5;NLRP7;MANSC4;SPOCK3;FETUB;PI3;SERPINI1;LPA;ERC2;GAPDH;SNCA
8,GO_Molecular_Function_2025,Benzodiazepine Receptor Activity (GO:0008503),6/9,1.4637365316651576e-05,0.0009103999514689316,0,0,23.911860012961764,266.18522429506663,GABRA5;GABRA4;GABRA3;GABRE;GABRG3;GABRG2
9,GO_Molecular_Function_2025,Chloride Channel Activity (GO:0005254),18/76,1.4922774469485454e-05,0.0009103999514689316,0,0,3.7283947836662983,41.432241987422344,GABRQ;OCA2;GABRA1;GABRA5;GABRA4;GABRA3;SLC1A4;BEST2;BEST3;GABRG3;CLCN2;GABRG2;GABRR1;FXYD3;CLCA2;SLC17A7;GABRE;CLCA4
