,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
0,GO_Molecular_Function_2025,Solute:Sodium Symporter Activity (GO:0015370),14/43,2.9061319496178243e-06,0.0020546352883798,0,0,5.697109110614673,72.63066420553108,SLC34A3;SLC34A2;SLC5A2;SLC6A20;SLC4A4;SLC4A5;SLC5A5;SLC4A8;SLC5A8;SLC5A9;SLC17A1;SLC28A2;SLC17A3;SLC17A4
1,GO_Molecular_Function_2025,Water Channel Activity (GO:0015250),7/13,2.0633668007362713e-05,0.0066471864650001,0,0,13.723605789697745,148.05830742680445,AQP7B;MINDY4;AQP6;AQP7;AQP4;AQP5;AQP2
2,GO_Molecular_Function_2025,Hormone Activity (GO:0005179),19/88,4.3628554720806754e-05,0.0066471864650001,0,0,3.252961035569731,32.65907396692213,REG3A;CALCA;GDF15;OXT;KNG1;GUCA2A;GH2;INSL6;PYY;VGF;SST;CPAMD8;CRH;GNRH2;AGRP;PRLH;HCRT;INHA;CHGB
3,GO_Molecular_Function_2025,Serine-Type Endopeptidase Inhibitor Activity (GO:0004867),15/60,4.5877920831648265e-05,0.0066471864650001,0,0,3.9328198545143342,39.28700848778285,WFDC12;WFDC11;SERPINA1;AMBP;SERPIND1;TFPI2;TFPI;SERPINA7;SERPINA4;WFDC2;WFDC3;WFDC10A;SPINK9;WFDC10B;WFDC13
4,GO_Molecular_Function_2025,Endopeptidase Inhibitor Activity (GO:0004866),23/119,4.700980526874226e-05,0.0066471864650001,0,0,2.8334206989247313,28.23547461821248,WFDC12;WFDC11;SPINK1;SERPINA1;ITIH2;AMBP;SERPIND1;TFPI2;PZP;TFPI;SERPINA7;KNG1;SERPINA4;WFDC2;CST5;WFDC3;PCSK1N;COL4A3;WFDC10A;SPINK9;WFDC10B;BIRC7;WFDC13
5,GO_Molecular_Function_2025,Water Transmembrane Transporter Activity (GO:0005372),7/15,6.720914926631375e-05,0.0079194780885473,0,0,10.291586845466156,98.87849097537828,AQP7B;MINDY4;AQP6;AQP7;AQP4;AQP5;AQP2
6,GO_Molecular_Function_2025,G Protein-Coupled Peptide Receptor Activity (GO:0008528),17/80,0.00013335941435283313,0.0120043042536553,0,0,3.1846819276125187,28.415205745540067,CX3CR1;OPRD1;LHCGR;NPFFR1;VIPR2;AVPR1B;NPR1;GLP2R;NPY1R;SCTR;SORCS2;RXFP2;CYSLTR1;MC2R;CALCR;KISS1R;PRLHR
7,GO_Molecular_Function_2025,Calcium Ion Binding (GO:0005509),45/324,0.00013583371149822156,0.0120043042536553,0,0,1.9156392501266677,17.057003467507226,RET;PLA2G1B;CABP4;CIB4;PON1;IHH;ITLN1;LPL;LRP2;THBS4;COMP;HPGDS;CLEC3B;SCIN;TTR;PCDHA4;CAPN3;ENPP3;PRSS2;PCDHA7;S100G;AOC1;CASR;AMY1A;PLA2G2C;REG4;TESC;AMY1B;PLA2G4A;HPCAL4;ALOX15B;CABCOCO1;DSPP;BAIAP3;VIL1;PCP4;SNTN;SYT12;RCAN2;PLA2G10;RGN;ESYT3;S100A4;CDHR5;S100P
8,GO_Molecular_Function_2025,Receptor Ligand Activity (GO:0048018),49/380,0.00042167171802610226,0.033124656071606,0,0,1.7577848086209769,13.66024402008189,CSF2;REG1A;INSL6;FGF9;CHGB;LEFTY1;EREG;GREM2;VGF;CRH;IFNK;S100A4;ANG;REG3A;CALCA;SEMA3B;SEMA3E;KNG1;C3;DPP4;THPO;CPAMD8;TAC4;ALKAL1;PRLH;NDP;APOB;LEFTY2;CCL15;GDF10;TNFSF15;GDF15;IL37;TNFSF13;VEGFD;GDF5;GUCA2A;BMP6;IL2;BMP5;GH2;PYY;CD40LG;SST;FGF18;GNRH2;SCGB3A1;INHA;CRLF1
9,GO_Molecular_Function_2025,Chloride Channel Activity (GO:0005254),15/76,0.000744206348510966,0.0526153888397253,0,0,2.898735242745007,20.88014712355726,CLIC6;GABRB2;GABRB1;CLIC3;AQP6;CLCNKA;ANO5;SLC1A7;GABRR3;GLRA3;SLC26A8;CLCA1;SLC26A9;CLIC2;CFTR
10,GO_Molecular_Function_2025,Chloride Transmembrane Transporter Activity (GO:0015108),16/86,0.0009873555723784067,0.0581716991392944,0,0,2.6948527387833745,18.64967536481163,CLIC6;GABRB2;GABRB1;CLIC3;SLC1A1;CLCNKA;ANO5;GABRR3;SLC4A8;GLRA3;SLC26A8;CLCA1;SLC26A9;CLIC2;SLC26A4;CFTR
11,GO_Molecular_Function_2025,Monoatomic Anion Channel Activity (GO:0005253),16/86,0.0009873555723784067,0.0581716991392944,0,0,2.6948527387833745,18.64967536481163,CLIC6;GABRB2;GABRB1;CLIC3;AQP6;CLCNKA;ANO5;GABRR3;SLC5A8;GLRA3;SLC26A8;CLCA1;SLC26A9;CLIC2;CFTR;SLC17A3
12,GO_Molecular_Function_2025,Glycerol Transmembrane Transporter Activity (GO:0015168),4/7,0.0010992620159133,0.0597829419423635,0,0,15.656681538134691,106.6707909224406,AQP7B;MINDY4;AQP7;AQP2
13,GO_Molecular_Function_2025,Bile Acid Transmembrane Transporter Activity (GO:0015125),6/18,0.0019044579408569,0.0853955613473453,0,0,5.875877472878111,36.80389850834928,ABCC3;SLCO1C1;CEACAM1;SLC10A2;SLC51B;SLCO1B3-SLCO1B7
14,GO_Molecular_Function_2025,Serotonin Receptor Activity (GO:0099589),6/18,0.0019044579408569,0.0853955613473453,0,0,5.875877472878111,36.80389850834928,HTR1F;CHRNA9;HTR2B;HTR3A;HTR3B;HTR4
15,GO_Molecular_Function_2025,Potassium Channel Activity (GO:0005267),14/75,0.001932572816913,0.0853955613473453,0,0,2.703750828084418,16.89547692597355,KCNK5;LRRC26;MINDY4;KCNC2;LRRC38;KCNA3;KCNK15;KCNK17;LRRC52;KCNQ1;KCNQ3;KCNN4;KCNJ1;HCN1
16,GO_Molecular_Function_2025,Serine-Type Endopeptidase Activity (GO:0004252),21/136,0.0021690615711125,0.0902074429868553,0,0,2.154594352308382,13.215119699594334,PCSK2;PCSK1;TPSG1;HPN;PRSS48;TMPRSS2;KLK14;PRSS57;AZU1;KLK12;DPP4;F7;PROC;DLC1;CTSH;PRTN3;PRSS2;KLKB1;HABP2;CFB;ELANE
17,GO_Molecular_Function_2025,Neuropeptide Hormone Activity (GO:0005184),7/26,0.0031871224332771,0.1190862973696542,0,0,4.330711837063924,24.89568955721661,PYY;CPAMD8;CRH;OXT;AGRP;PRLH;HCRT
18,GO_Molecular_Function_2025,Calcium-Dependent Cysteine-Type Endopeptidase Activity (GO:0004198),5/14,0.0032768358709869,0.1190862973696542,0,0,6.525651927437642,37.332451993379316,CAPN13;CAPN8;CAPN9;CAPN5;CAPN3
19,GO_Molecular_Function_2025,Monoatomic Anion Transmembrane Transporter Activity (GO:0008509),8/33,0.0033687778605277,0.1190862973696542,0,0,3.762709265175719,21.4218761542158,SLC4A8;SLC1A1;AQP6;SLC26A8;SLC26A9;SLC26A4;CFTR;SLC5A5
20,GO_Molecular_Function_2025,Neuropeptide Activity (GO:0160041),7/27,0.0040148351340378,0.121675771274316,0,0,4.113952745849297,22.699799768137822,PYY;CPAMD8;CRH;OXT;AGRP;PRLH;HCRT
21,GO_Molecular_Function_2025,G Protein-Coupled Receptor Activity (GO:0004930),33/259,0.0041034196815296,0.121675771274316,0,0,1.7257585335018963,9.484656008334326,OPRD1;CX3CR1;NPFFR1;VIPR2;NPR1;GPR22;MRGPRE;RXFP2;MC2R;CYSLTR1;P2RY6;HCAR1;ADGRE5;FFAR4;KISS1R;ADORA1;PCDHA4;PRLHR;TAS1R1;GPR39;GABBR2;CASR;LHCGR;GPR12;GPR35;GLP2R;GPR52;SCTR;ESR1;ADGRD1;MTNR1A;ADGRF1;ADGRF5
22,GO_Molecular_Function_2025,Sodium:Bicarbonate Symporter Activity (GO:0008510),3/5,0.0043025378809871,0.121675771274316,0,0,17.603503184713375,95.9135712467356,SLC4A8;SLC4A4;SLC4A5
23,GO_Molecular_Function_2025,Arylesterase Activity (GO:0004064),3/5,0.0043025378809871,0.121675771274316,0,0,17.603503184713375,95.9135712467356,PON3;CA1;PON1
24,GO_Molecular_Function_2025,Iodide Transmembrane Transporter Activity (GO:0015111),3/5,0.0043025378809871,0.121675771274316,0,0,17.603503184713375,95.9135712467356,SLC5A8;SLC26A4;SLC5A5
25,GO_Molecular_Function_2025,Glycerophospholipid Flippase Activity (GO:0140333),4/10,0.0054421770770282,0.1373372374256297,0,0,7.827066071807946,40.80700460657809,ATP8A1;ATP10B;ATP10A;ATP11A
26,GO_Molecular_Function_2025,Intracellularly Cyclic Nucleotide-Activated Monoatomic Cation Channel Activity (GO:0005221),4/10,0.0054421770770282,0.1373372374256297,0,0,7.827066071807946,40.80700460657809,MINDY4;CNGA3;CNGA4;HCN1
27,GO_Molecular_Function_2025,Cytokine Activity (GO:0005125),25/186,0.005892873266647,0.1373372374256297,0,0,1.8322580127433512,9.406833853327193,CCL14;CCL13;CSF2;C5;THPO;NDP;ALKAL1;LEFTY2;CCL15;GDF10;LEFTY1;TNFSF15;GDF15;IL37;PPBP;GDF5;BMP6;IL2;BMP5;CD40LG;IFNK;SCGB3A1;INHA;CKLF;CRLF1
28,GO_Molecular_Function_2025,Carboxylic Ester Hydrolase Activity (GO:0052689),17/111,0.0059392750049151,0.1373372374256297,0,0,2.1308114095060984,10.922897700607956,ACHE;PON3;PNPLA7;PLA2G1B;PON1;LPL;PLA2G4A;PLAAT3;PLAAT5;PLAAT4;FA2H;CA1;ALDH2;PLA2G10;RGN;MGLL;PLA1A
29,GO_Molecular_Function_2025,Taste Receptor Activity (GO:0008527),7/29,0.0061459691898807,0.1373372374256297,0,0,3.739550679205851,19.041638094941295,TAS2R50;TAS2R30;TAS2R46;TAS2R13;TAS1R1;TAS2R3;TAS2R4
30,GO_Molecular_Function_2025,Phosphate Transmembrane Transporter Activity (GO:0005315),5/16,0.0062628304643251,0.1373372374256297,0,0,5.338589981447124,27.083323863800587,SLC34A3;SLC34A2;SLC17A1;SLC17A3;SLC17A4
31,GO_Molecular_Function_2025,Serine-Type Peptidase Activity (GO:0008236),21/149,0.0064641483809676,0.1373372374256297,0,0,1.9343941285438144,9.752217054648222,PCSK2;PCSK1;TPSG1;HPN;PRSS48;TMPRSS2;KLK14;PRSS57;AZU1;KLK12;DPP4;F7;PROC;DLC1;CTSH;PRTN3;PRSS2;KLKB1;HABP2;CFB;ELANE
32,GO_Molecular_Function_2025,Bicarbonate Transmembrane Transporter Activity (GO:0015106),6/23,0.0073736444805581,0.1373372374256297,0,0,4.14655204774954,20.358920345631052,SLC4A8;SLC26A8;SLC39A8;SLC26A9;SLC26A4;CFTR
